Tamaliza,tamaliza-sedona-4,https://www.yelp.com/biz/tamaliza-sedona-4,671,4.5,-111.7812231,34.86245252,FALSE,(928) 202-9056,1155 W State Rte 89A,"Sedona, AZ 86336","Mexican, Latin American, Gluten-Free",Sedona,AZ,Arizona
La Barbeque,la-barbecue-austin-3,https://www.yelp.com/biz/la-barbecue-austin-3,1883,4.5,-97.7223386,30.2561254,FALSE,(512) 605-9696,2027 E Cesar Chavez St,"Austin, TX 78702","Barbeque, Food Trucks, Sandwiches",Austin,TX,Austin
Tacodeli,tacodeli-austin-11,https://www.yelp.com/biz/tacodeli-austin-11,175,4.5,-97.73514484,30.34871599,FALSE,(512) 467-9999,7301 Burnet Rd,Ste 100,"Breakfast & Brunch, Caterers, Tacos",Austin,TX,Austin
Tacodeli,tacodeli-austin-12,https://www.yelp.com/biz/tacodeli-austin-12,12,3.5,-97.66713,30.20215,FALSE,(512) 530-2242,3600 Presidential Blvd,"Austin, TX 78719","Tacos, Breakfast & Brunch",Austin,TX,Austin
Tacodeli,tacodeli-austin-3,https://www.yelp.com/biz/tacodeli-austin-3,923,4.5,-97.78747,30.25827,FALSE,(512) 732-0303,1500 Spyglass Dr,Ste B,"Caterers, Breakfast & Brunch, Tacos",Austin,TX,Austin
Tacodeli,tacodeli-austin-4,https://www.yelp.com/biz/tacodeli-austin-4,634,4.5,-97.7400862,30.31047739,FALSE,(512) 419-1900,4200 N Lamar Blvd,"Austin, TX 78756","Caterers, Breakfast & Brunch, Tacos",Austin,TX,Austin
Tacodeli,tacodeli-austin-6,https://www.yelp.com/biz/tacodeli-austin-6,881,4,-97.71322,30.40744,FALSE,(512) 339-1700,12001 Burnet Rd,"Austin, TX 78758","Seafood, Breakfast & Brunch, Tacos",Austin,TX,Austin
Tacodeli,tacodeli-west-lake-hills,https://www.yelp.com/biz/tacodeli-west-lake-hills,148,4.5,-97.82625352,30.29035221,FALSE,(512) 347-8888,701 S Capital Of Texas Hwy,Ste E590,"Breakfast & Brunch, Seafood, Tacos",Austin,TX,Austin
Cafe 153,cafe-153-apollo-bay,https://www.yelp.com/biz/cafe-153-apollo-bay,11,3.5,143.668942,-38.755156,FALSE,+61 3 5237 1123,153 Great Ocean Rd,Apollo Bay Victoria 3233,Cafes,Apollo Bay,Australia,Australia
Agathe Patisserie,agathe-patisserie-melbourne-3,https://www.yelp.com/biz/agathe-patisserie-melbourne-3,9,5,144.956989,-37.832461,FALSE,+61 403 222 573,"Shop 64, Aisle B, South Melbourne Market",Melbourne Victoria 3205,Bakeries,Melbourne,Australia,Australia
Agathe Patisserie,agathe-patisserie-petite-melbourne,https://www.yelp.com/biz/agathe-patisserie-petite-melbourne,1,4,144.96395,-37.81425,FALSE,+61 403 222 573,Shop 49A,335 Bourke St,"Patisserie/Cake Shop, Bakeries",Melbourne,Australia,Australia
Chin Chin,chin-chin-melbourne,https://www.yelp.com/biz/chin-chin-melbourne,360,4,144.9702215,-37.8154883,FALSE,+61 3 8663 2000,125 Flinders Ln,Melbourne Victoria 3000,Thai,Melbourne,Australia,Australia
