Devil's Teeth Baking Company,Bakery,7,$,tolerable,"$5-7/sandwich, $1-3/baked good","special bfast sandwich (avocado, pepper jack, bacon + egg on biscuit sandwich), donut muffin","bacon was amazing, would have liekd more egg. sandwich was pretty good, but took FOREVER to make. donut muffin wasn't bad, but nothing special, still wanna try the beer, bacon, cheddar, green onion muffin",if in the area,,Breakfast,http://www.devilsteethbakingcompany.com/
Sunrise Biscuit Kitchen,Southern,10,$,cheap,$4 for a sandwich,chicken biscuits,"after hyping up the sandwich to some northerners...iris: ""mmmm this biscuit is so good...i haven't even go to the chicken part yet""",CHEAA,BISCUITS,Brunch,http://www.sunrisebiscuits.com/main.html?src=/
Cafe Amelie,Southern,8,$$,decent,$13 entrees,"gumbo, shrimp and grits, catfish sandwich","gumbo roux was thicker than Luke, more sausage/meat but no seafood; shrimp and grits were good, but rich; catfish sandwich was great--bread was amazing",probly,,Brunch,http://www.cafeamelie.com
Clinton Street Bakery,American,10,$$,pricey,$15 entrees,"Pancakes, biscuits, fried chicken, jalapeno cornbread, kale","Kale was oily, cornbread was eh, biscuits were not bad, but not southern biscuits; zero wait for dinner",Yea for the pancakes,pancakes!,Brunch,http://www.clintonstreetbaking.com
Foragers Table,American (New),8,$$$,pricey,"$16 for hearty portion. 2017 update. salmon tartine now $19, downgraded from a 10 to an 8","brunch-salmon tartine, pistachio cardamon bread ($7)","delicious. 4 slices of salmon loved the egg + kale + salmon + rye combo. staff was super friendly. 2017: bit too bitter this time, bread was tiny but delicious",maybe,salmon tartine,Brunch,
Jane,American,10,$$$,pretty good,"$17 PTT range for brunch, comes with drink; prices have increased in 2015 to $19/benedict, $21 for steak and eggs","brunch: benedict jane: crab cake/crawfish benedict, steak and eggs, chicken and waffles (waffle only); dinner: gnocchi, salmon-frites","brunch: delish, also loved the free rolls (raisin cranberry), steak and eggs were delish--steak was perfectly medium rare and had good cilantro pesto w/chili flakes, mac and cheese croquette was v. good--seasoning on the crust was best part; waffle in chicken and waffles a bit sweet--waffles came w/syrup already on it. dinner: gnocchi is SO good. basically fried cheese. rosemary fries sucked--soggy and limp fries w/a few rosemary leaves sprinkled on top; salmon was good but sunday ""deal"" is not a deal",CHEAA,eggs benedict,Brunch,http://janerestaurant.com
Butler and the Chef Bistro,French,10,$$,fair,,"salmon quiche, french onion soup",OMG SOO GOOD. AND WITH THE SALAD. what a huge chunk of salmon,CHEAA,salmon quiche,Brunch,http://www.frenchrestaurantsanfrancisco.com
No. 9 Park,French,7,$$$$,fair,,"truffle gnocchi with peas, lobster and mushroom, tres leches cake-- earl grey tea ice cream, grapefruit, pomegranate? dessert; 2019 Sloan: tasting menu","loved the peas. gnocchi was kind of tough. dessert was great--interesting, light, not overly sweet; 2019: service was fantastic. food was hit or miss--some were phenomenal, others i just didnt like even tho they were well done. the chorizo was one dimensional and tough. loved the fish w/potato, mushroom oyster, the raspberry on a cookie dessert. sectemsempra drink was weird",if im not paying for it,,Dinner,http://www.no9park.com
Alta,Tapas,7,$$$,average,$8-12 per small tapas; large/seafood $18-20,"fried goat cheese with honey, brussel sprouts, lamb meatballs with slow poached egg, seafood paella","brussel sprouts were good but mainly b/c roasted to a crisp how i like them (ilili has better maybe)--sauce was light and good; goat cheese and honey taste good together...not sure there was anything great about it; lamb meatballs ok, not great: tomato sauce was strange, meatballs a bit bland (didn't taste liek lamb) and couldn't taste egg; really liked seafood paella -- squid/octopus? crisps on top were delicious","only for ""The Whole Shebang""",,,http://www.altarestaurant.com
Amada,Tapas,7,$$$$$,pricey,"$65?/person for tasting menu, tapas regulary $12-14",tasting menu,"some were salty, but overall really liked it",if i ever graduate princeton again,,,http://www.amadarestaurant.com
Angelos Pizza,Pizza,5,$$,overpriced,,"mushroom pizza, margharita pizza, pepperoni pizza","v. good but nothing special. i do love the dough, sauce, and the fresh mozz","unlikely, but wouldn't be against it",,,http://www.angelospizzany.com
Cafe Blossom,Veg/Vegan,6,$$$,"pretty filling, but pricey","pretty filling, but pricey",mushroom scallop and seitan marsala,"seitan marsala was pretty good--tasted like chicken. app was also good, but pricey","unlikely, but i didn't dislike the place",,,http://www.blossomnyc.com
Cafe China,Chinese: Sichuan,7.5,$$,i would never eat chinese in midtown,$$$ for chinese,"Dandan mian, green beans, 3 pepper chicken, dumplings in chili oil","all v. good, but all over priced, better to come for lunch.",good but I wouldn't pay for it,,,http://www.cafechinanyc.com
Chinatown Ice Cream Factory,Dessert: Ice Cream,2,$,little pricey,red bean,ice cream didn't taste creamy enough,probably not,,,,http://www.chinatownicecreamfactory.com
Cho Dang Gol,Korean,8,$$,"larger than usual sundubu, and cheaper than ktown",$13 for large thing of sundubu,seafood sundubu; stuffed mushroom app,"soondooboo was delicious, banchan was good, tofu delicious; might be better to go to BCD tofu. love how they have mixed rice",yes--new go to korean spot,,,http://www.chodanggolny.com
Dos Caminos,Mexican,6,$$$,Eh,"$19 for tacos, guac was about $10?","Guac with mango, shrimp and steak tacos",Tacos with guac and rice and beans made solid burrito,good but I wouldn't pay for it,,,http://www.doscaminos.com
Grom,Dessert,6,$,ridiculously expensive,$5+ for a small,hazelnut and pistachio gelato,"good -- could taste the flavors well. tiny portion, big price tag",good but I wouldn't pay for it,,,http://www.grom.it
Insomnia Cookies,Dessert,4,$,pretty cheap,$1.6? a cookie,"Deluxe PB Cup Cookie, Deluxe Smores Cookie","smores was a bit too sweet for me, PB was more on the PB side",good but I wouldn't pay for it,,,http://www.insomniacookies.com
Mercadito,Mexican,6,$$$,terrible,"tacos $16.5, small plates $12","chicken, steak, pork, mahi mahi tacos; beef brisket/mushroom cheese quesadilla, mango/pinapple guac","chicken taco was fav, steak was good, pork was meh, fish had too much breading; KP's vegan taco was fav; quesadilla maker thing was good but super cheesy; liked the pineapple and mango guacs",good but I wouldn't pay for it,,,http://www.mercaditorestaurants.com
New World Mall Food court,Chinese,10,$,what a deal,"MALATANG!, ginger scallion lobster; lamzhou noodle shop also here",2nd level -- weila is my level,CHEAA,"MaLaXiangGuo, LamZhou Noodles",,,http://www.newworldmallny.com/en/food-court
Niu Noodle House,Ramen,5,$$,overpriced,,"Dumplings, standard noodle bowl","Dumplings/shaomai overpriced and suckedRamen not bad",good but not worth returning,,,http://www.niunoodleny.com/
Shake Shack,Burgers,8,$,pretty good,"burger, fries, custard, BLUEBERRY PIE CUSTARD!!!, corn dog","everything is good, but last time butter was a little heavy on the bun and left me not so satisfied...",yes!,blueberry pie custard avail only on 4th of July,,,http://www.shakeshack.com
Spice Market,Thai,6,$$$,ok,,"pork vindaloo, lobster summer roll, short rib, ginger fried rice, kefi","pork vindaloo, fried rice, free chips really good. lobster roll sucked, didn't like short rib. dessert was interesting but not a fav","maybe. wouldn't object, but wouldn't recommend either",,,http://www.spicemarketnewyork.com
Sushi Yasuda,Japanese: Sushi,6,$$$$,pricey...i was hungry after,fixed price $31 after tax ($28.50 prix fixe tip included),"sashimi (stiped bass, tuna, spanish mackarel), eel sushi, artic char, and scallop pieces (piece on top) and artic char roll",eel only good one. everything else was ok. i can't appreciate good sushi. i just know it was good b/c i didn't get sick,good but I wouldn't pay for it,,,http://www.sushiyasuda.com
Tico,Latin American,5,$$$$$,what I imagine a NYC tapas place to be,$13-15 tapas...min 3-4 per person,"grilled green beans, seared scallops, grilled octopus, oyster, cheesecake, lobster tacos, fish tacos, fried manchego, roasted cauliflower; shishito peppers;PB w/chocolate gelato and caramelized banana","loved the green beans, scallops, octopus was pretty good; lobster tacos were good; fish tacos were meh--all fried and breaded; roasted cauliflower was good but rich; fried manchego was delicious with sauce; shishito peppers were not bad, desserts were good",if i want to burn money or am not paying again,,,http://www.ticoboston.com
Yankee Lobster,Seafood,5,$$$,overpriced,$20 for lobster roll with fries,lobster roll (comes with fries),"not bad, but not great","if i go to SSAC again, but wouldn't go out of the way",,,http://www.yankeelobstercompany.com
Nanas,American,7,$$$,"avg nyc, pricey in NC","shrimp risotto, monkfish, 2 other fishes","nothing exciting, but all very solid. server was an idiot. i ordered an entree and 3 apps for the table, then he asked mom what she'd like to start with",maybe b/c it's durham,,,,http://www.yelp.com/biz/nanas-durham
Life Alive,Veg/Vegan,10,$,"not cheap, but not pricey and even half size is filling","$6-7 for half size, $10-12 for full",the adventurer,I LOVE THIS,CHEAA,the adventurer bowl,Lunch,http://www.lifealive.com
Sweetgreen,Healthy,8,$$,fair,$10-11 for a bowl,"the one with pesto and chicken--earthbowl?, umami bowl, thai salad",awesome,yes,,Lunch,http://sweetgreen.com/
Protein Bar,Healthy,6,$$,pricey,pricey,Vegan superfood salad (no dressing) + chicken spinach pesto quinoa = amazing salad,love the mix i made,i love this place but maybe only for work b/c it's a pricey lunch,see thoughts,Lunch,http://www.proteinbarchicago.com
Julias Empanadas,Latin American,5,$,fair,$5 for one,"turkey (Turkey, Spring Onions, Cilantro, Jalapenos, Tumeric, & Spices)","wasn't spicy, nice and crusty, good seasoning filling, turkey was tender, pretty large",maybe,,Lunch,http://www.juliasempanadas.com
TaKorean,Asian Fusion,7,$,average,$3/taco,chicken and bulgogi tacos,delicious,probly,,Lunch,http://www.takorean.com
Neopol,Specialty Food,10,$,pretty good,$9/sandwich,"salmon BLT (freshly smoked with our freerange bacon, tomato and field greens with honey dijon dressing on sunflower flaxseed bread)",SO GOOD. the bacon might have been smoked too. lots of meat for the price,CHEAA,,Lunch,http://neopolsmokery.com/
Neals Deli,Southern,7,$,expensive,"$10 for a sandwich, $6ish for a biscuit sandwich","manhattan sandwich (pastrami, slaw, russian dressing); tomato, egg, and pimento cheese biscuit; pimento + pastrami biscuit","biscuit sandwich was amazing. heart attack inducing, but biscuit is amazing. manhattan was really good, but a little small feeling...felt like a rip off vs. dare I say it, toasties??",probly,Biscuits,Lunch,http://www.nealsdeli.com
Les Givrals Sandwich and Cafe,Vietnamese,5,$,FREE,$2.5-$3 a bahn mi...WHAAAT,bbq chicken and bbq pork (#2) bahn mi,"chicken was a little bland, pork was fantastic",maybe,,Lunch,http://www.lesgivrals.com
The Milk Bar,Sandwiches,3,$,fair,$8.5/sandwich,christmas in july (thanksgiving sandwich) and satay chicken salad,"good sandwich, but i think my expectations were too high/really disappointed it was deli turkey and not hot roast turkey lol. salad wasn't bad but nothing special",unlikely,,Lunch,http://milkbar.prytaniabar.com
Bombay Sandwich Co,Indian,1,$,average,$9 sandwich,sweet potato sandwich,bland. so bland,no,,Lunch,http://www.bombaysandwichco.com/
City Sandwich,Sandwiches,3,$$,expensive,$10+ for a sandwich,"shrimp sandwich, popped chips, vegan cookies,",vegan cookies were really good but $4 for 4 quarter sized ones abt a cm tall. not enough stuffing. people were super nice and considerate,unlikely,,Lunch,http://www.citybbq.com/
E-Mo,Korean,5,$$,what a ripoff,$6.5 for one roll...you gotta be kidding me,mushroom kimbap,ok,doubt it,,Lunch,
Goa Taco,Asian Fusion,5,$,fair,$7-9 a taco,chicken chorizo and butternut squash tacos,"paratha is good, chicken chorizo sausage was spicy -- pretty good-- didn't like how the toppings were not evenly distributed--partic issue for butternut squash b/c the kale was super bitter, liked the sweet parts -- had feta in it",maybe,,Lunch,http://www.goataco.com
Green Symphony,Deli,2,$$,expensive,,bibibambap equiv,how are there so many stars on yelp. cash only/$15 min and they screwed up kristina's order,no,,Lunch,http://www.greensymphonynewyork.com/
Korilla,Korean,7,$,fair,$8-9,rice bowl,solid and filling and tasty; not a fan of the service...,probly,,Lunch,http://www.korillabbq.com/
Num Pang,Asian Fusion,10,$,pricey,$8-10,cauliflower sandwich; haven't tried pork belly but heard its awesome too; roasted japanese yam; hot and sour chicken rice soup; catfish salad; meatball sandwich; corn,"sandwiches are kind of small but SO GOOD. i love the cauliflower one. Jean (got pork belly): ""WHAT?! $10 for a sandwich?!"" Post eating: ""I want another one""; roasted yam sandwich was pretty good; soup/corn ok, not worth the money; meatball sandwich was pretty good; catfish salad was not bad, but too pricey",CHEAA,,Lunch,http://www.numpangnyc.com
